Timestamp,Solar Radiation
2024-03-02 11:10:00,913.0
2024-03-02 11:20:00,923.0
2024-03-02 11:30:00,932.0
2024-03-02 11:40:00,949.0
2024-03-02 11:50:00,948.0
2024-03-02 12:00:00,961.0
2024-03-02 12:10:00,965.0
2024-03-02 12:20:00,963.0
2024-03-02 12:30:00,962.0
2024-03-02 12:40:00,962.0
2024-03-02 12:50:00,952.0
2024-03-02 13:00:00,943.0
2024-03-02 13:10:00,938.0
2024-03-02 13:20:00,920.0
2024-03-02 13:30:00,908.0
2024-03-02 13:40:00,893.0
2024-03-02 13:50:00,855.0
2024-03-02 14:00:00,843.0
2024-03-02 14:10:00,820.0
2024-03-02 14:20:00,796.4
2024-03-02 14:30:00,772.0
2024-03-02 14:40:00,733.4
2024-03-02 14:50:00,689.4
2024-03-02 15:00:00,676.3
2024-03-02 15:10:00,644.3
2024-03-02 15:20:00,618.1
2024-03-02 15:30:00,575.0
2024-03-02 15:40:00,551.4
2024-03-02 15:50:00,508.6
2024-03-02 16:00:00,482.3
2024-03-02 16:10:00,433.1
2024-03-02 16:20:00,406.0
2024-03-02 16:30:00,360.1
2024-03-02 16:40:00,80.7
2024-03-02 16:50:00,102.0
2024-03-02 17:00:00,164.5
2024-03-02 17:10:00,66.44
2024-03-02 17:20:00,38.88
2024-03-02 17:30:00,22.64
2024-03-02 17:40:00,16.25
2024-03-02 17:50:00,8.94
2024-03-02 18:00:00,1.404
2024-03-02 18:10:00,0.863
2024-03-02 18:20:00,0.615
2024-03-02 18:30:00,0.675
2024-03-02 18:40:00,0.13
2024-03-02 18:50:00,0.044
2024-03-02 19:00:00,0.004
2024-03-02 19:10:00,0.0
2024-03-02 19:20:00,0.0
2024-03-02 19:30:00,0.0
2024-03-02 19:40:00,0.0
2024-03-02 19:50:00,0.0
2024-03-02 20:00:00,0.0
2024-03-02 20:10:00,0.0
2024-03-02 20:20:00,0.0
2024-03-02 20:30:00,0.0
2024-03-02 20:40:00,0.0
2024-03-02 20:50:00,0.0
2024-03-02 21:00:00,0.0
2024-03-02 21:10:00,0.0
2024-03-02 21:20:00,0.0
2024-03-02 21:30:00,0.0
2024-03-02 21:40:00,0.0
2024-03-02 21:50:00,0.0
2024-03-02 22:00:00,0.002
2024-03-02 22:10:00,0.0
2024-03-02 22:20:00,0.001
2024-03-02 22:30:00,0.002
2024-03-02 22:40:00,0.0
2024-03-02 22:50:00,0.0
2024-03-02 23:00:00,0.0
2024-03-02 23:10:00,0.0
2024-03-02 23:20:00,0.0
2024-03-02 23:30:00,0.0
2024-03-02 23:40:00,0.0
2024-03-02 23:50:00,0.0
2024-03-03 00:00:00,0.0
2024-03-03 00:10:00,0.001
2024-03-03 00:20:00,0.0
2024-03-03 00:30:00,0.0
2024-03-03 00:40:00,0.0
2024-03-03 00:50:00,0.0
2024-03-03 01:00:00,0.0
2024-03-03 01:10:00,0.0
2024-03-03 01:20:00,0.0
2024-03-03 01:30:00,0.0
2024-03-03 01:40:00,0.0
2024-03-03 01:50:00,0.0
2024-03-03 02:00:00,0.0
2024-03-03 02:10:00,0.0
2024-03-03 02:20:00,0.0
2024-03-03 02:30:00,0.0
2024-03-03 02:40:00,0.0
2024-03-03 02:50:00,0.0
2024-03-03 03:00:00,0.0
2024-03-03 03:10:00,0.0
2024-03-03 03:20:00,0.0
2024-03-03 03:30:00,0.0
2024-03-03 03:40:00,0.0
2024-03-03 03:50:00,0.0
2024-03-03 04:00:00,0.0
2024-03-03 04:10:00,0.0
2024-03-03 04:20:00,0.0
2024-03-03 04:30:00,0.0
2024-03-03 04:40:00,0.0
2024-03-03 04:50:00,0.0
2024-03-03 05:00:00,0.0
2024-03-03 05:10:00,0.001
2024-03-03 05:20:00,0.0
2024-03-03 05:30:00,0.006
2024-03-03 05:40:00,0.051
2024-03-03 05:50:00,0.573
2024-03-03 06:00:00,2.438
2024-03-03 06:10:00,6.615
2024-03-03 06:20:00,12.87
2024-03-03 06:30:00,19.42
2024-03-03 06:40:00,71.72
2024-03-03 06:50:00,101.7
2024-03-03 07:00:00,133.2
2024-03-03 07:10:00,167.4
2024-03-03 07:20:00,203.2
2024-03-03 07:30:00,240.6
2024-03-03 07:40:00,279.5
2024-03-03 07:50:00,316.9
2024-03-03 08:00:00,354.3
2024-03-03 08:10:00,392.8
2024-03-03 08:20:00,428.4
2024-03-03 08:30:00,465.1
2024-03-03 08:40:00,502.4
2024-03-03 08:50:00,537.7
2024-03-03 09:00:00,570.4
2024-03-03 09:10:00,608.1
2024-03-03 09:20:00,641.3
2024-03-03 09:30:00,673.0
2024-03-03 09:40:00,704.7
2024-03-03 09:50:00,730.7
2024-03-03 10:00:00,765.7
2024-03-03 10:10:00,788.0
2024-03-03 10:20:00,812.0
2024-03-03 10:30:00,834.0
2024-03-03 10:40:00,861.0
2024-03-03 10:50:00,880.0
2024-03-03 11:00:00,883.0
2024-03-03 11:10:00,913.0
2024-03-03 11:20:00,921.0
2024-03-03 11:30:00,932.0
2024-03-03 11:40:00,944.0
2024-03-03 11:50:00,948.0
2024-03-03 12:00:00,963.0
2024-03-03 12:10:00,970.0
2024-03-03 12:20:00,958.0
2024-03-03 12:30:00,976.0
2024-03-03 12:40:00,961.0
2024-03-03 12:50:00,961.0
2024-03-03 13:00:00,954.0
2024-03-03 13:10:00,936.0
2024-03-03 13:20:00,942.0
2024-03-03 13:30:00,979.0
2024-03-03 13:40:00,978.0
2024-03-03 13:50:00,925.0
2024-03-03 14:00:00,178.1
2024-03-03 14:10:00,190.2
2024-03-03 14:20:00,862.0
2024-03-03 14:30:00,158.7
2024-03-03 14:40:00,126.2
2024-03-03 14:50:00,789.3
2024-03-03 15:00:00,747.5
2024-03-03 15:10:00,699.9
2024-03-03 15:20:00,710.2
2024-03-03 15:30:00,128.8
2024-03-03 15:40:00,124.1
2024-03-03 15:50:00,88.3
2024-03-03 16:00:00,81.4
2024-03-03 16:10:00,454.0
2024-03-03 16:20:00,401.2
2024-03-03 16:30:00,370.4
2024-03-03 16:40:00,72.8
2024-03-03 16:50:00,66.68
2024-03-03 17:00:00,253.0
2024-03-03 17:10:00,149.0
2024-03-03 17:20:00,177.6
2024-03-03 17:30:00,132.8
2024-03-03 17:40:00,35.02
2024-03-03 17:50:00,78.56
2024-03-03 18:00:00,23.18
2024-03-03 18:10:00,16.74
2024-03-03 18:20:00,10.04
2024-03-03 18:30:00,4.577
2024-03-03 18:40:00,1.272
2024-03-03 18:50:00,0.164
2024-03-03 19:00:00,0.011
2024-03-03 19:10:00,0.0
2024-03-03 19:20:00,0.0
2024-03-03 19:30:00,0.0
2024-03-03 19:40:00,0.001
2024-03-03 19:50:00,0.0
2024-03-03 20:00:00,0.002
2024-03-03 20:10:00,0.001
2024-03-03 20:20:00,0.0
2024-03-03 20:30:00,0.0
2024-03-03 20:40:00,0.0
2024-03-03 20:50:00,0.0
2024-03-03 21:00:00,0.0
2024-03-03 21:10:00,0.0
2024-03-03 21:20:00,0.0
2024-03-03 21:30:00,0.0
2024-03-03 21:40:00,0.0
2024-03-03 21:50:00,0.0
2024-03-03 22:00:00,0.0
2024-03-03 22:10:00,0.0
2024-03-03 22:20:00,0.0
2024-03-03 22:30:00,0.001
2024-03-03 22:40:00,0.001
2024-03-03 22:50:00,0.0
2024-03-03 23:00:00,0.0
2024-03-03 23:10:00,0.0
2024-03-03 23:20:00,0.0
2024-03-03 23:30:00,0.0
2024-03-03 23:40:00,0.0
2024-03-03 23:50:00,0.0
2024-03-04 00:00:00,0.0
2024-03-04 00:10:00,0.0
2024-03-04 00:20:00,0.001
2024-03-04 00:30:00,0.0
2024-03-04 00:40:00,0.0
2024-03-04 00:50:00,0.0
2024-03-04 01:00:00,0.005
2024-03-04 01:10:00,0.0
2024-03-04 01:20:00,0.0
2024-03-04 01:30:00,0.0
2024-03-04 01:40:00,0.0
2024-03-04 01:50:00,0.0
2024-03-04 02:00:00,0.004
2024-03-04 02:10:00,0.0
2024-03-04 02:20:00,0.0
2024-03-04 02:30:00,0.002
2024-03-04 02:40:00,0.0
2024-03-04 02:50:00,0.0
2024-03-04 03:00:00,0.0
2024-03-04 03:10:00,0.0
2024-03-04 03:20:00,0.0
2024-03-04 03:30:00,0.0
2024-03-04 03:40:00,0.0
2024-03-04 03:50:00,0.0
2024-03-04 04:00:00,0.0
2024-03-04 04:10:00,0.0
2024-03-04 04:20:00,0.0
2024-03-04 04:30:00,0.0
