Timestamp,VWSGstrain0.5T,VWSGstrain0.5B,VWSGstrain1T,VWSGstrain1B,VWSGstrain2T,VWSGstrain2B,VWSGstrain4T,VWSGstrain4B
2024-03-06 04:50:00,-12.6208987801092,-41.88029852956561,-11.40508887982378,-45.781839537458836,-14.882080031652094,-41.19244591059123,-21.414491909481967,-11.891112388646434
2024-03-06 05:00:00,-12.441803553461796,-41.608622075443236,-11.141991491492718,-45.5170579886576,-14.670484698841392,-40.996215774109714,-21.174204637632556,-11.657582836231995
2024-03-06 05:10:00,-12.187355080946872,-41.36758786531118,-10.95745040925658,-45.338422874121534,-14.483807360670198,-40.7906341798207,-21.045235997555665,-11.535737710963986
2024-03-06 05:20:00,-11.94771839993382,-41.05621093948503,-10.708949681225931,-45.06097986603254,-14.311525643970981,-40.60934250849323,-20.9199145145044,-11.330753072095831
2024-03-06 05:30:00,-11.631481287413862,-40.770666026247,-10.418408883266238,-44.81741446524575,-14.052259854850945,-40.38692535058772,-20.713675368735494,-11.104817592547988
2024-03-06 05:40:00,-11.294842311523098,-40.46165925929563,-10.157091810454858,-44.58705020133402,-13.828437356603445,-40.11340901422864,-20.546366542553187,-10.96899833827274
2024-03-06 05:50:00,-11.181801252981131,-40.228389450939176,-9.967035247149852,-44.34748286251124,-13.647266049702921,-39.90468052969527,-20.377227353719718,-10.796998502726638
2024-03-06 06:00:00,-10.788301950967252,-39.89349728948355,-9.70996113449928,-44.03665982642633,-13.404584945650186,-39.7383154010613,-20.1502806271601,-10.57929420398159
2024-03-06 06:10:00,-10.607295453430197,-39.750996444120574,-9.45043813898792,-43.85969447040634,-13.279360876585997,-39.576307292235924,-20.105255230036164,-10.473295366207367
2024-03-06 06:20:00,-10.326816630610665,-39.42088502224851,-9.274979050408092,-43.60227891426439,-13.074894717634834,-39.469130195721846,-19.863085283493092,-10.251770774438683
2024-03-06 06:30:00,-10.020992408168695,-39.149685410800885,-8.911249194637094,-43.2753186934051,-12.836062203417896,-39.1662818201421,-19.753557684559382,-10.105775872626964
2024-03-06 06:40:00,-9.820189755043884,-38.810516292246575,-8.743084566886864,-42.99258683399739,-12.679234979832472,-38.82976497329673,-19.638551357848428,-9.936290367125366
2024-03-06 06:50:00,-9.684875648841171,-38.3823147631997,-8.701042608553962,-42.6885744365386,-12.64930973796163,-38.55804445276681,-19.600215381146427,-9.739503421475547
2024-03-06 07:00:00,-9.991335848547351,-38.17722301011281,-8.922216274813309,-42.42822370267186,-12.864323779801452,-38.4178167002533,-19.189456003400664,-9.582704029957313
2024-03-06 07:10:00,-10.279862872526792,-38.12730213180703,-9.373675474904758,-42.37592199907385,-13.283239549802602,-38.314980848734194,-19.91541436619582,-9.653169042045192
2024-03-06 07:20:00,-10.90691058238508,-38.227744872530366,-9.99993012135792,-42.39661284957174,-13.910433012649264,-38.50444669201488,-20.761129308866657,-9.756008381627908
2024-03-06 07:30:00,-11.646305296348146,-38.33119291800131,-10.801529693797875,-42.4115561873291,-14.592380274067182,-38.59232182938376,-21.682141312135627,-9.923594630405205
2024-03-06 07:40:00,-12.213912130444896,-38.550111283262595,-11.69192379755168,-42.520181389978916,-15.315764363423114,-38.720704375411515,-22.67597977867854,-10.161000449964831
2024-03-06 07:50:00,-13.445898830490023,-38.82194255087006,-12.772140346619835,-42.7586886081217,-16.18910036316629,-39.03790919114999,-23.88853544406402,-10.595162131875895
2024-03-06 08:00:00,-15.019611205345427,-39.535734831621085,-14.36954678134407,-43.40001435437398,-17.362330036107323,-39.74267709491778,-25.125139379284064,-11.237460523539085
2024-03-06 08:10:00,-16.52253321942044,-40.208549025304364,-15.88616668266559,-43.904510976205984,-18.608866622606,-40.49159331735609,-26.363288042826753,-12.06308076734831
2024-03-06 08:20:00,-18.464321955668765,-41.05560980825703,-17.724172902579085,-44.67609502838786,-20.112890742228046,-41.44161740809113,-27.821112718682798,-12.893028357287676
2024-03-06 08:30:00,-20.538651818904782,-42.1122945234024,-19.749465797231096,-45.642845367601694,-21.710993569222865,-42.489888464802334,-29.43830372581033,-13.904926305924619
2024-03-06 08:40:00,-22.80763771034981,-43.324400575846994,-22.015327091529343,-46.69783883619948,-23.518069754507906,-43.62327652253134,-31.195895697834658,-15.104390291873187
2024-03-06 08:50:00,-25.343136507713552,-44.69722895731593,-24.516597472260855,-48.075248132045544,-25.571446124968134,-45.01355180566907,-33.05065479463701,-16.348635185205694
2024-03-06 09:00:00,-28.029619601771174,-46.29131131599934,-27.074418363184577,-49.4746526609656,-27.65427244065586,-46.392910913914875,-34.99762723967751,-17.895018622374664
2024-03-06 09:10:00,-30.781920461168284,-47.89992854661341,-29.7063114216935,-50.93734290486509,-29.738350173539402,-47.900739693106516,-37.00153229380476,-19.311075786741185
2024-03-06 09:20:00,-33.9967748312024,-49.90176862896169,-32.776164109185174,-52.7987852128158,-32.277816500462905,-49.5524878031747,-39.24117761403795,-20.990385591376253
2024-03-06 09:30:00,-37.30263685668933,-52.11282600608865,-35.876427352952305,-54.793670356698385,-34.77339386656877,-51.4282480887523,-41.42778120465664,-22.864950517201578
2024-03-06 09:40:00,-40.68275131371729,-54.56342068558615,-39.05612798693301,-56.97913761392465,-37.43073771809986,-53.55452968939562,-43.63713677782334,-24.861134998420766
2024-03-06 09:50:00,-43.780782848851686,-56.97633131985913,-42.07530897047263,-59.10004729496177,-39.95651972914811,-55.468752596207196,-45.7420389426793,-26.846522717700736
2024-03-06 10:00:00,-46.883240192329595,-59.30547825800386,-45.028658321756666,-61.14846679695529,-42.43409107647858,-57.37177654603238,-47.979914570248184,-28.609771557702516
2024-03-06 10:10:00,-50.038577234868626,-61.471923534525104,-48.150393860289114,-63.175421870313585,-44.97962922845818,-59.16549543829478,-50.19690169111618,-30.426902423022057
2024-03-06 10:20:00,-53.38158514783072,-63.87991406456467,-51.24675857478496,-65.27189642797794,-47.52537690792997,-61.10019389634817,-52.47286702342217,-32.18466297566465
2024-03-06 10:30:00,-56.68092646501009,-66.46809680318847,-54.42293028143649,-67.55101523042049,-50.07902580912423,-63.07767883996394,-54.65779209148286,-34.17645803656751
2024-03-06 10:40:00,-59.436950942557814,-68.68664735574293,-57.047081205951145,-69.53929453404407,-52.25493992799102,-64.89814805366814,-56.59101684611642,-36.03170394138897
2024-03-06 10:50:00,-62.94448357600322,-71.4249113786077,-60.24098208004534,-71.94951916330183,-54.77350491188281,-67.05912492585139,-58.768847608503165,-38.15804391259735
2024-03-06 11:00:00,-66.3421525955041,-74.1354768812007,-63.413695463287695,-74.35112303835695,-57.340587311337,-69.10336101241637,-60.9385568181051,-40.27162185595398
2024-03-06 11:10:00,-69.08667163300242,-76.71269426343042,-65.90928422216848,-76.64253033810792,-59.276039294970815,-71.05514943826893,-62.73310491028997,-42.14263971160699
2024-03-06 11:20:00,-72.11947439311552,-79.35311564811082,-68.69299520107643,-78.97050225426801,-61.63058623555071,-73.04282024136182,-64.74250999012065,-44.140559678416594
2024-03-06 11:30:00,-74.55698273517146,-81.79118592755913,-70.992180473605,-81.04248096804304,-63.392667881622856,-75.00626566776737,-66.480897186113,-45.953569387112566
2024-03-06 11:40:00,-76.8926855332711,-84.03672401032873,-73.21210828672656,-83.04802576928114,-65.19239639258558,-76.6786864272849,-67.9816996017289,-47.49100519070544
2024-03-06 11:50:00,-78.98085475751577,-86.04467281736652,-74.99714325699188,-84.70462232954924,-66.67108129613871,-78.14946571290375,-69.49173266840126,-48.98137460194448
2024-03-06 12:00:00,-81.49586578108756,-88.157321235768,-77.17149707552153,-86.65624822249902,-68.38738294289942,-79.93357510937494,-71.2014679562044,-50.61763576402154
2024-03-06 12:10:00,-84.03960935459509,-90.6008586912867,-79.47127480172003,-88.69874113576725,-70.20971543921269,-81.69300150973777,-72.75880887454787,-52.28873919485159
2024-03-06 12:20:00,-86.04462670227485,-92.43782876646355,-81.27287164601967,-90.32038822290815,-71.51936342726003,-83.1581557825175,-74.15063321014168,-53.77915824573893
2024-03-06 12:30:00,-87.91852805506369,-94.49554570730606,-82.91098213191754,-92.12695020167757,-72.69082663944528,-84.73915828646068,-75.31503088312593,-55.283689754950046
2024-03-06 12:40:00,-90.43312536433405,-96.79338002425584,-85.32185175429731,-94.00505466442428,-74.64367201321966,-86.41922501226281,-76.74834618391696,-56.66754482916349
